id,name,range,rating,id_copy,energy,danceability,loudness,valence,tempo,mode,speechiness,acousticness,instrumentalness,duration_ms,time_signature
6SmXMbewOprbmUEWNxXH61,There Is No Need To Fear The End,medium_term,5.575757575757576,6SmXMbewOprbmUEWNxXH61,0.367,0.272,-11.993,0.0705,107.726,1,0.037,0.0226,0.517,337024,5
4uNHhyYgUJT6e4s5zpNypt,Estranged From Itself,medium_term,5.454545454545455,4uNHhyYgUJT6e4s5zpNypt,0.534,0.161,-8.821,0.13,102.018,1,0.0304,0.00463,0.0226,287426,4
1UYj8qTWjneZJDVjUMwMub,The Moment,medium_term,5.3939393939393945,1UYj8qTWjneZJDVjUMwMub,0.827,0.547,-6.036,0.451,119.089,1,0.0468,0.000296,0.101,255413,4
2KBHg10JyF2MMjg3l0CFoY,It's Only A Band,medium_term,5.333333333333333,2KBHg10JyF2MMjg3l0CFoY,0.798,0.494,-7.142,0.763,149.98,0,0.0333,0.0185,0.0,211236,4
3I7OmVsk4Hm5LBbs2GmhlD,Reality In Motion,medium_term,5.2727272727272725,3I7OmVsk4Hm5LBbs2GmhlD,0.915,0.536,-4.993,0.472,115.037,1,0.0581,0.154,0.000788,252027,4
4Qzwf6gvIwVEq1z3nLgaTy,The Dawns Here Are Quiet,medium_term,5.212121212121212,4Qzwf6gvIwVEq1z3nLgaTy,0.386,0.146,-11.001,0.156,95.998,0,0.0362,0.211,0.79,287924,4
4j4DlIxdxYM6dADdVkn1QP,Too Much Money,medium_term,5.090909090909091,4j4DlIxdxYM6dADdVkn1QP,0.623,0.515,-6.484,0.234,180.044,1,0.0267,0.00129,0.371,136440,4
51PL1ACfxtpfHtkm7XprSc,It's Only Money,medium_term,4.96969696969697,51PL1ACfxtpfHtkm7XprSc,0.665,0.646,-14.221,0.718,163.738,0,0.219,0.0562,0.00624,167827,4
7qU7vhCPKhkDiJYGoboISc,Apocalypse Dreams,medium_term,4.848484848484849,7qU7vhCPKhkDiJYGoboISc,0.929,0.496,-2.279,0.267,127.998,1,0.0503,0.249,0.131,356947,4
5sd11hcjO90FHHxYVNkQFY,California 1986,medium_term,4.787878787878787,5sd11hcjO90FHHxYVNkQFY,0.576,0.355,-12.668,0.162,165.977,1,0.0416,0.0868,0.954,182493,4
4XitfDhOTxlO0OEJuquNUa,Rakıya Su Katamam,medium_term,4.727272727272727,4XitfDhOTxlO0OEJuquNUa,0.837,0.472,-8.617,0.812,87.785,1,0.0647,0.0514,0.0288,220143,4
0DiWol3AO6WpXZgp0goxAV,One More Time,medium_term,4.666666666666666,0DiWol3AO6WpXZgp0goxAV,0.697,0.613,-8.618,0.476,122.746,1,0.133,0.0194,0.0,320357,4
1zlUQHKfgo8gMFvegX4S6s,At Sea,medium_term,4.6060606060606055,1zlUQHKfgo8gMFvegX4S6s,0.593,0.509,-9.933,0.156,183.97,1,0.0449,0.472,0.906,216548,4
3ZmQ6V3YR9aWnFFe1wJeHa,Outer Space,medium_term,4.545454545454545,3ZmQ6V3YR9aWnFFe1wJeHa,0.707,0.483,-8.198,0.582,159.956,0,0.0297,0.000221,0.321,225966,4
3zsRUTrHvbJB8kU5KUBYgV,Eliasong,medium_term,4.484848484848484,3zsRUTrHvbJB8kU5KUBYgV,0.181,0.211,-16.895,0.164,79.827,0,0.0322,0.92,0.891,204800,4
