id,name,range,rating,id_copy,energy,danceability,loudness,valence,tempo,mode,speechiness,acousticness,instrumentalness,duration_ms,time_signature,pitches,timbre,key,mode,id_copy_2
4wajJ1o7jWIg62YqpkHC7S,Weird Fishes/ Arpeggi,short_term,1.5151515151515147,4wajJ1o7jWIg62YqpkHC7S,0.61,0.531,-8.025,0.199,152.958,0,0.0387,0.772,0.756,318187,4,"[0.24, 0.35, 0.34, 0.19, 0.49, 0.21, 0.4, 0.38, 0.19, 0.42, 0.18, 0.3]","[47.18, -41.22, -30.58, -1.28, 35.41, -38.31, -17.9, -27.23, 0.58, 2.43, -8.62, 6.36]",88.88888888888889,0.53,4wajJ1o7jWIg62YqpkHC7S
50fkJxrv0ZLTt9EHZGBOP7,Canon x Love S.O.S. (WWW),short_term,1.454545454545454,50fkJxrv0ZLTt9EHZGBOP7,0.921,0.555,-7.058,0.217,116.998,0,0.0996,0.0124,0.00131,287253,4,"[0.35, 0.55, 0.29, 0.3, 0.56, 0.4, 0.57, 0.39, 0.42, 0.43, 0.27, 0.36]","[49.95, 64.14, 25.99, -5.71, 51.46, -39.68, 13.19, 6.05, -20.28, -4.55, -13.0, 2.76]",90.9090909090909,0.45,50fkJxrv0ZLTt9EHZGBOP7
5fdJ9yD4BMXogf3183BXd3,Papillons,short_term,1.3939393939393936,5fdJ9yD4BMXogf3183BXd3,0.057,0.203,-23.709,0.0369,86.963,0,0.0372,0.775,0.906,174000,1,"[0.57, 0.52, 0.38, 0.36, 0.45, 0.27, 0.24, 0.27, 0.38, 0.38, 0.16, 0.22]","[29.63, -177.61, -20.82, -30.25, 14.8, -36.74, 31.16, 9.11, -3.74, -4.53, -8.76, -8.14]",83.33333333333333,0.5,5fdJ9yD4BMXogf3183BXd3
6DwgovwzeHZa2Ka0xuoDlT,Cité radieuse,short_term,1.2727272727272725,6DwgovwzeHZa2Ka0xuoDlT,0.403,0.747,-13.643,0.227,172.539,1,0.078,0.984,0.906,247240,3,"[0.18, 0.4, 0.12, 0.24, 0.24, 0.11, 0.36, 0.1, 0.23, 0.2, 0.19, 0.32]","[39.53, -121.39, -3.3, 16.85, 33.95, -3.4, -1.07, -5.49, -5.45, 0.62, -7.87, 5.79]",87.5,0.38,6DwgovwzeHZa2Ka0xuoDlT
6t5LvKZevNXyHXhROrMR9t,Fat Old Sun,short_term,1.1515151515151514,6t5LvKZevNXyHXhROrMR9t,0.274,0.174,-15.234,0.0334,119.803,0,0.0428,0.985,0.909,279512,4,"[0.18, 0.34, 0.7, 0.19, 0.45, 0.48, 0.44, 0.36, 0.13, 0.43, 0.26, 0.32]","[38.79, -76.0, 74.07, 1.96, 56.03, -33.58, -4.49, 1.29, -10.69, -6.63, 2.01, 1.39]",83.33333333333333,0.5,6t5LvKZevNXyHXhROrMR9t
7AfbtT8GN1iv3Crb11NaVI,Telephasic Workshop,short_term,1.0909090909090908,7AfbtT8GN1iv3Crb11NaVI,0.83,0.772,-14.395,0.579,100.055,1,0.139,0.0175,0.843,395480,4,"[0.58, 0.46, 0.28, 0.26, 0.27, 0.24, 0.41, 0.52, 0.65, 0.62, 0.54, 0.25]","[38.12, -20.31, -61.57, 60.71, 19.78, -46.44, -16.27, -12.09, -10.28, 6.77, -19.99, 4.8]",75.0,0.78,7AfbtT8GN1iv3Crb11NaVI
7keJ7uDxNNp2RFx91ZgWpc,Bocuma,short_term,1.0303030303030305,7keJ7uDxNNp2RFx91ZgWpc,0.103,0.267,-24.083,0.324,125.593,0,0.047,0.992,0.932,95973,5,"[0.18, 0.06, 0.46, 0.15, 0.21, 0.39, 0.15, 0.56, 0.19, 0.26, 0.11, 0.16]","[34.18, -146.66, 85.09, 10.36, 50.36, -25.73, 5.09, 2.92, -13.58, -10.91, -1.6, -1.96]",80.0,0.2,7keJ7uDxNNp2RFx91ZgWpc
7sAzXuEwz0sOhnB57xoccs,An Eagle In Your Mind,short_term,0.9696969696969696,7sAzXuEwz0sOhnB57xoccs,0.467,0.825,-14.053,0.252,96.014,1,0.0752,0.371,0.847,385520,4,"[0.59, 0.67, 0.26, 0.31, 0.23, 0.38, 0.48, 0.21, 0.24, 0.22, 0.22, 0.19]","[38.44, -2.48, -56.84, 12.84, 32.81, -16.12, -20.49, -30.19, -11.15, -10.16, -15.73, 12.44]",87.5,0.86,7sAzXuEwz0sOhnB57xoccs
0ansk2O9qsXta073JyOKKD,Kounkoun,short_term,0.7878787878787881,0ansk2O9qsXta073JyOKKD,0.724,0.653,-7.759,0.896,95.042,0,0.0373,0.377,0.000111,286187,4,"[0.51, 0.4, 0.2, 0.34, 0.28, 0.57, 0.28, 0.35, 0.22, 0.16, 0.31, 0.17]","[47.23, -15.96, -14.33, -7.3, 27.8, -23.01, -3.64, -4.87, 7.36, 0.25, -11.47, -6.56]",85.71428571428571,0.25,0ansk2O9qsXta073JyOKKD
0uEBBlkHjdxSUty2ANx8SZ,Norfolk Hotel,short_term,0.7272727272727275,0uEBBlkHjdxSUty2ANx8SZ,0.76,0.441,-6.618,0.508,112.52,1,0.0569,0.422,0.0522,274177,4,"[0.5, 0.38, 0.29, 0.23, 0.31, 0.31, 0.34, 0.4, 0.36, 0.52, 0.43, 0.35]","[50.59, -8.2, 21.02, -12.36, 19.84, -28.68, -0.55, -0.7, -5.72, -3.08, -5.48, -0.19]",90.0,0.91,0uEBBlkHjdxSUty2ANx8SZ
